2002 7000
2001 280 0
280 1381 -2261
280 1190 -1395
280 1763 -1888
280 1509 -5471
280 1001 -2218
2001 281 0
281 1951 -2390
281 1265 -6786
281 1232 -5092
281 1878 -8810
2001 282 0
282 1458 -9958
282 1042 -2346
282 1542 -4731
282 1623 -6206
282 1319 -2491
282 1945 -4355
282 1558 -3173
2001 283 0
283 1753 -6230
283 1898 -4751
283 1942 -4342
283 1215 -4728
2001 284 0
284 1582 -1024
284 1827 -9404
284 1451 -6350
284 1324 -9495
284 1330 -8503
284 1486 -5706
284 1747 -3186
284 1879 -5131
2001 285 0
285 1548 -507
285 1614 -3196
285 1869 -6887
285 1584 -6414
2001 286 0
286 1812 -6617
286 1094 -1227
286 1013 -6365
286 1029 -423
286 1276 -4192
2001 287 0
287 1424 -5281
287 1284 -9536
287 1283 -95
287 1677 -7541
287 1894 -6897
287 1053 -5855
2001 288 0
288 1452 -2498
288 1396 -3969
288 1485 -7957
288 1801 -4774
288 1586 -6081
288 1707 -7557
288 1708 -240
2001 289 0
289 1304 -4525
289 1846 -6666
289 1326 -8420
289 1129 -4800
289 1661 -8053
289 1124 -8946
2001 290 0
290 1988 -7980
290 1082 -7227
290 1312 -9729
290 1404 -1152
290 1761 -7634
290 1282 -2656
2001 291 0
291 1449 -9326
291 1702 -8217
291 1606 -6550
291 1025 -8211
291 1527 -1009
2001 292 0
292 1056 -8595
292 1018 -7987
292 1629 -3983
2001 293 0
293 1919 -7448
293 1850 -7418
293 1824 -3377
293 1843 -1583
293 1056 -2720
293 1627 -6042
2001 294 0
294 1408 -5458
294 1218 -8697
294 1527 -5642
294 1700 -7880
294 1130 -8336
2001 295 0
295 1427 -2830
295 1265 -2981
295 1431 -1105
295 1765 -8088
295 1217 -1455
295 1149 -4360
2001 296 0
296 1238 -1207
296 1354 -7063
296 1558 -1535
296 1013 -1831
296 1544 -5004
296 1136 -5481
296 1270 -4829
2001 297 0
297 1539 -2001
297 1109 -3951
297 1009 -1045
297 1368 -5741
297 1512 -9178
297 1476 -8148
297 1121 -559
2001 298 0
298 1914 -1455
298 1595 -7305
298 1568 -1343
298 1123 -2087
298 1771 -4255
298 1385 -768
298 1132 -6242
298 1463 -4572
2001 299 0
299 1999 -4761
299 1697 -8724
299 1618 -9093
299 1639 -2728
2001 300 0
300 1318 -5189
300 1431 -5192
300 1401 -8970
300 1294 -2598
300 1201 -9150
300 1833 -9653
2001 301 0
301 1239 -2523
301 1939 -5215
301 1049 -9680
301 1532 -294
2001 302 0
302 1449 -9389
302 1746 -7338
302 1351 -1970
302 1174 -8498
302 1575 -6266
302 1486 -6235
302 1431 -9736
302 1297 -8396
2001 303 0
303 1124 -5612
303 1704 -4714
303 1943 -3431
303 1234 -2702
303 1537 -8211
303 1238 -1393
2001 304 0
304 1573 -7521
304 1955 -7053
304 1233 -9742
304 1155 -9296
304 1774 -9025
304 1630 -9846
304 1927 -5310
2001 305 0
305 1585 -1428
305 1254 -8678
305 1372 -6508
305 1061 -9126
305 1836 -1651
305 1631 -7890
2001 306 0
306 1765 -9005
306 1202 -584
306 1198 -4899
2001 307 0
307 1519 -5285
307 1856 -3832
307 1058 -4539
307 1089 -3987
307 1222 -5338
307 1880 -4226
307 1979 -5632
307 1293 -6975
307 1691 -6915
2001 308 0
308 1988 -1127
308 1045 -6075
308 1693 -7924
308 1374 -1288
308 1466 -9555
308 1415 -3950
2001 309 0
309 1802 -2355
309 1678 -4752
309 1740 -584
309 1092 -4872
309 1504 -6630
2001 310 0
310 1109 -1115
310 1101 -2209
310 1296 -6333
310 1980 -6500
310 1866 -3071
310 1298 -9845
2001 311 0
311 1905 -2253
311 1959 -8477
311 1405 -7845
311 1179 -3831
311 1241 -4576
311 1514 -3948
2001 312 0
312 1697 -9467
312 1440 -4339
312 1890 -1641
312 1039 -7639
312 1968 -2176
2001 313 0
313 1209 -3917
313 1293 -4692
2001 314 0
314 1241 -3584
2001 315 0
315 1766 -7536
315 1469 -9741
315 1541 -7933
315 1683 -9375
315 1213 -5367
2001 316 0
316 1708 -6832
316 1456 -6594
316 1836 -9326
316 1300 -3660
2001 317 0
317 1238 -6183
317 1582 -3785
317 1851 -6797
317 1328 -169
317 1192 -2648
317 1295 -6874
2001 318 0
318 1944 -4464
318 1982 -3085
318 1729 -1531
318 1675 -7586
318 1902 -4257
318 1771 -119
318 1019 -1262
318 1146 -8153
2001 319 0
319 1036 -5498
319 1518 -5564
319 1452 -6678
319 1391 -8947
319 1931 -8902
319 1694 -746
2001 320 0
320 1027 -7760
320 1731 -656
320 1384 -8364
320 1777 -7268
320 1423 -4968
320 1945 -6613
2001 321 0
321 1297 -6868
321 1463 -3337
321 1404 -5538
321 1167 -7791
2001 322 0
322 1872 -6602
322 1837 -4584
322 1973 -1549
322 1533 -5288
322 1140 -3967
322 1375 -5629
2001 323 0
323 1726 -3822
323 1767 -4838
323 1799 -9058
323 1693 -8214
323 1194 -8175
323 1038 -4398
323 1609 -3777
2001 324 0
324 1539 -4884
324 1973 -2303
324 1498 -9610
324 1200 -9735
324 1904 -2051
2001 325 0
325 1844 -3993
325 1164 -3344
325 1045 -6438
325 1876 -252
325 1288 -2084
2001 326 0
326 1225 -3872
326 1740 -805
326 1500 -7204
326 1137 -2511
326 1135 -7223
326 1195 -3884
326 1642 -7706
326 1020 -7019
2001 327 0
327 1051 -3212
327 1693 -331
327 1566 -4370
327 1951 -946
327 1287 -9585
2001 328 0
328 1984 -8412
328 1606 -1448
328 1872 -1693
2001 329 0
329 1009 -7393
329 1050 -4065
329 1920 -5349
329 1204 -9771
329 1311 -2215
329 1064 -4023
329 1161 -5301
329 1786 -1863
329 1701 -153
2001 330 0
330 1726 -8731
330 1112 -143
330 1043 -5323
330 1741 -5794
330 1119 -4380
330 1781 -4255
2001 331 0
331 1953 -7877
331 1055 -6763
331 1205 -5320
331 1551 -858
331 1042 -8598
331 1986 -7434
2001 332 0
332 1878 -4109
332 1710 -1736
332 1485 -1789
332 1400 -192
332 1451 -9466
2001 333 0
333 1957 -4434
333 1839 -6189
333 1993 -7824
333 1346 -5653
333 1057 -3106
333 1738 -7164
2001 334 0
334 1229 -7275
334 1610 -5236
334 1132 -3187
334 1497 -9709
334 1327 -5464
2001 335 0
335 1834 -9336
335 1294 -287
335 1733 -1451
335 1701 -9059
335 1429 -2346
335 1867 -8532
335 1318 -9281
335 1728 -6706
335 1011 -1886
335 1831 -9060
335 1430 -9741
2001 336 0
336 1687 -94
336 1261 -2523
336 1913 -3377
336 1129 -7135
336 1875 -874
336 1819 -3734
2001 337 0
337 1034 -4159
337 1798 -2857
337 1319 -1531
337 1910 -978
337 1985 -6073
337 1721 -1288
2001 338 0
338 1421 -3714
338 1717 -9651
338 1707 -9612
338 1330 -864
338 1162 -231
2001 339 0
339 1905 -3968
339 1528 -4776
2001 340 0
340 1850 -2339
340 1482 -703
340 1858 -8410
2001 341 0
341 1403 -9767
341 1550 -6118
341 1235 -3809
341 1247 -8062
341 1236 -1030
2001 342 0
342 1486 -5692
342 1653 -2136
342 1227 -287
342 1898 -3140
342 1102 -2094
342 1837 -131
2001 343 0
343 1043 -6587
343 1974 -1240
343 1313 -9245
343 1257 -3887
343 1108 -7887
343 1754 -1646
343 1076 -7296
343 1367 -2920
343 1784 -9213
2001 344 0
344 1805 -8298
344 1748 -1385
344 1510 -2040
344 1834 -3804
344 1003 -7816
344 1914 -3493
2001 345 0
345 1937 -7878
345 1294 -2833
2001 346 0
346 1258 -3096
346 1416 -4388
2001 347 0
347 1184 -4436
347 1491 -6183
2001 348 0
348 1539 -5846
348 1706 -5703
348 1472 -9059
348 1284 -7078
348 1316 -5170
348 1426 -722
2001 349 0
349 1314 -2137
349 1687 -9911
349 1661 -7478
349 1982 -230
349 1502 -8347
349 1276 -8998
349 1394 -9130
2001 350 0
350 1317 -6596
350 1321 -7391
350 1220 -9011
350 1362 -8733
350 1907 -5770
2001 351 0
351 1923 -5713
351 1507 -1822
2001 352 0
352 1299 -8937
352 1956 -3893
352 1346 -2221
352 1874 -7023
352 1672 -8389
2001 353 0
353 1725 -4159
353 1746 -749
353 1333 -6767
353 1772 -9045
353 1845 -2437
2001 354 0
354 1546 -5851
354 1900 -1331
354 1116 -5863
354 1072 -4238
354 1852 -9740
354 1335 -10
2001 355 0
355 1068 -1123
355 1959 -4783
355 1755 -1215
355 1072 -9347
355 1114 -303
355 1211 -493
355 1815 -4465
355 1928 -223
2001 356 0
356 1215 -7879
356 1052 -9427
356 1103 -225
356 1047 -6952
356 1701 -2113
2001 357 0
357 1052 -5679
357 1055 -9948
357 1354 -3852
357 1381 -4873
2001 358 0
358 1654 -8816
358 1333 -3808
358 1027 -5291
358 1265 -7527
358 1519 -2380
2001 359 0
359 1663 -5934
359 1718 -8079
359 1887 -9825
359 1984 -490
2001 360 0
360 1292 -1862
360 1975 -6008
360 1316 -2720
2001 361 0
361 1774 -4376
361 1991 -3781
361 1342 -1841
2001 362 0
362 1597 -8459
362 1339 -4040
2001 363 0
363 1564 -5830
363 1765 -6857
363 1603 -7677
363 1587 -7047
363 1408 -1494
363 1165 -2423
2001 364 0
364 1678 -9580
364 1433 -3210
364 1088 -1588
364 1644 -1717
364 1694 -1514
364 1077 -9657
364 1052 -4192
364 1019 -7295
364 1442 -6536
364 1898 -6344
2001 365 0
365 1550 -1104
365 1863 -7733
365 1036 -7275
2001 366 0
366 1605 -8404
366 1013 -7749
366 1197 -5002
366 1097 -9165
2001 367 0
367 1488 -7749
367 1214 -9428
367 1534 -4482
367 1758 -9892
2001 368 0
368 1742 -4639
368 1263 -3654
368 1532 -2008
368 1533 -4606
368 1506 -9748
368 1211 -1755
2001 369 0
369 1910 -6814
369 1021 -4857
369 1875 -7497
369 1458 -3932
2001 370 0
370 1088 -7774
370 1260 -3233
370 1364 -6496
370 1142 -5667
2001 371 0
371 1807 -6077
371 1293 -6237
371 1513 -448
371 1010 -467
2001 372 0
372 1115 -8107
372 1182 -3048
372 1069 -3096
372 1837 -5298
2001 373 0
373 1789 -8453
373 1572 -5282
373 1591 -3746
2001 374 0
374 1875 -2665
374 1228 -2987
374 1692 -628
374 1365 -2885
2001 375 0
375 1494 -2286
375 1559 -9370
375 1739 -9917
375 1148 -283
375 1184 -766
375 1455 -7220
375 1459 -6225
2001 376 0
376 1979 -2888
376 1070 -6860
376 1635 -4984
376 1312 -4260
376 1304 -6331
376 1857 -9238
376 1348 -3182
376 1619 -6255
2001 377 0
377 1749 -1398
377 1620 -1890
377 1387 -284
377 1565 -473
2001 378 0
378 1873 -185
378 1259 -9106
378 1425 -8894
378 1541 -8175
378 1075 -2291
2001 379 0
379 1655 -8702
379 1670 -5271
379 1988 -583
379 1423 -6295
379 1284 -7764
379 1663 -6724
379 1218 -8388
2001 380 0
380 1404 -5142
380 1078 -2110
2001 381 0
381 1519 -6890
381 1846 -248
381 1631 -2785
381 1649 -8904
381 1600 -7113
2001 382 0
382 1382 -7832
382 1983 -3158
382 1823 -9445
382 1630 -1291
382 1628 -5498
382 1744 -9292
2001 383 0
383 1851 -7562
383 1390 -4686
383 1810 -9927
383 1803 -8646
383 1506 -3006
383 1312 -4958
2001 384 0
384 1908 -6541
384 1061 -3393
384 1705 -2996
384 1314 -5953
384 1987 -7235
384 1853 -5435
384 1728 -954
384 1613 -4399
2001 385 0
385 1707 -313
385 1600 -958
385 1239 -8312
2001 386 0
386 1176 -8820
386 1209 -3003
386 1302 -4884
386 1563 -4345
386 1839 -1152
2001 387 0
387 1810 -9969
387 1063 -1609
387 1622 -2567
387 1215 -3357
387 1819 -2000
387 1999 -9000
2001 388 0
388 1274 -9324
388 1852 -2084
388 1214 -7876
2001 389 0
389 1971 -8145
389 1399 -5758
2001 390 0
390 1384 -5953
390 1706 -5826
390 1934 -9440
390 1269 -5698
390 1687 -9988
390 1387 -2170
390 1058 -3702
390 1497 -9527
2001 391 0
391 1779 -3107
391 1482 -6525
2001 392 0
392 1588 -4240
392 1942 -7492
392 1712 -9312
392 1694 -6012
392 1207 -7489
392 1580 -2962
2001 393 0
393 1896 -6258
393 1505 -7961
393 1849 -5052
393 1370 -2469
393 1770 -2576
393 1285 -2255
2001 394 0
394 1074 -8251
394 1103 -9563
394 1540 -7943
394 1354 -4612
394 1157 -867
2001 395 0
395 1859 -4749
395 1671 -5440
395 1946 -8096
2001 396 0
396 1563 -5733
396 1314 -3593
396 1614 -6695
2001 397 0
397 1142 -7659
397 1326 -2819
2001 398 0
398 1090 -2348
398 1667 -5642
398 1864 -6236
398 1251 -6746
398 1222 -3352
398 1947 -7561
2001 399 0
399 1873 -1773
399 1305 -9245
399 1718 -9735
399 1321 -1656
399 1298 -2901
399 1804 -6513
399 1183 -8544
399 1731 -1667
399 1926 -4306
2001 400 0
400 1497 -8051
400 1614 -1934
400 1739 -1805
400 1205 -3501
400 1752 -7823
400 1177 -448
400 1761 -4482
400 1068 -3948
2001 401 0
401 1788 -3364
401 1683 -913
401 1361 -2224
401 1650 -2572
401 1927 -446
401 1549 -9868
2001 402 0
402 1433 -355
402 1890 -8431
402 1477 -602
402 1922 -6303
402 1789 -4904
402 1517 -4796
402 1333 -6413
2001 403 0
403 1114 -4515
403 1534 -8558
403 1282 -5442
403 1704 -2369
403 1983 -6000
403 1838 -8670
403 1063 -1764
403 1467 -7936
2001 404 0
404 1066 -5394
404 1673 -990
404 1913 -1651
2001 405 0
405 1194 -2657
405 1354 -462
2001 406 0
406 1157 -285
406 1132 -4277
406 1890 -1246
406 1088 -8360
406 1110 -5717
406 1552 -2102
2001 407 0
407 1303 -9674
407 1045 -3339
407 1572 -2402
407 1691 -141
407 1712 -8665
407 1069 -2509
407 1878 -6435
2001 408 0
408 1649 -6839
408 1539 -2592
408 1352 -4580
408 1243 -1428
2001 409 0
409 1037 -3982
409 1737 -6166
409 1053 -7567
409 1160 -2664
409 1948 -1860
409 1062 -3360
409 1292 -1140
409 1301 -986
409 1538 -2329
2001 410 0
410 1851 -1411
410 1676 -3430
410 1424 -3441
410 1699 -1895
410 1789 -1836
410 1064 -6482
410 1890 -1468
410 1209 -9209
410 1282 -1538
410 1450 -5275
2001 411 0
411 1722 -441
411 1126 -5858
411 1482 -8334
411 1250 -4132
411 1717 -7788
2001 412 0
412 1625 -8115
412 1640 -2526
412 1307 -4101
412 1572 -5297
412 1079 -2376
412 1933 -2384
2001 413 0
413 1846 -5755
413 1958 -5958
413 1368 -7802
2001 414 0
414 1273 -2123
414 1365 -5091
414 1544 -535
414 1845 -9723
414 1446 -9377
2001 415 0
415 1266 -4725
415 2000 -2434
415 1755 -5112
2001 416 0
416 1814 -5998
416 1823 -2641
416 1125 -8129
416 1140 -8070
416 1514 -3466
416 1006 -1248
416 1372 -9725
2001 417 0
417 1682 -883
417 1348 -3578
417 1793 -7876
417 1851 -9465
417 1306 -1088
417 1787 -9771
2001 418 0
418 1933 -1775
418 1331 -8428
418 1891 -5489
418 1984 -9024
2001 419 0
419 1584 -9931
419 1156 -9979
419 1722 -3837
419 1141 -251
419 1575 -1941
419 1700 -352
419 1134 -8086
419 1337 -4556
419 1880 -8518
2001 420 0
420 1286 -1544
420 1863 -2618
420 1992 -2343
420 1613 -6854
420 1121 -9981
420 1109 -2447
420 1231 -7092
420 1620 -646
2001 421 0
421 1705 -1789
421 1276 -4736
421 1309 -5644
421 1316 -9291
421 1523 -5032
2001 422 0
422 1350 -5502
422 1953 -5437
422 1268 -8112
422 1421 -3273
2001 423 0
423 1005 -9682
423 1852 -5348
423 1955 -8313
423 1339 -516
423 1165 -2304
423 1953 -111
423 1644 -5063
2001 424 0
424 1019 -1924
424 1715 -8059
424 1354 -3453
424 1586 -637
2001 425 0
425 1137 -6980
2001 426 0
426 1854 -2824
426 1111 -658
426 1627 -4064
426 1031 -4472
2001 427 0
427 1488 -268
427 1282 -6970
427 1955 -9290
2001 428 0
428 1175 -2487
428 1103 -232
428 1172 -1158
428 1352 -5446
2001 429 0
429 1123 -7037
429 1810 -6248
429 1075 -3301
429 1255 -3881
429 1923 -8195
2001 430 0
430 1754 -9509
430 1441 -538
430 1630 -4034
2001 431 0
431 1835 -2739
431 1941 -7080
431 1644 -5796
2001 432 0
432 1707 -3564
432 1878 -6264
432 1931 -5257
432 1399 -2522
432 1319 -7988
432 1484 -1061
432 1379 -2497
2001 433 0
433 1655 -9213
433 1049 -1586
433 1497 -9545
2001 434 0
434 1492 -385
434 1446 -2450
434 1073 -2737
434 1704 -2953
434 1551 -8411
434 1813 -4789
434 1158 -8897
434 1723 -5709
434 1937 -1883
434 1038 -2802
434 1373 -8235
2001 435 0
435 1681 -5627
435 1473 -826
435 1404 -5346
2001 436 0
436 1435 -1684
436 1169 -3509
436 1381 -371
436 1399 -2173
436 1549 -5686
436 1928 -1451
2001 437 0
437 1766 -8768
437 1165 -970
437 1007 -2719
437 1355 -7933
2001 438 0
438 1872 -9653
438 1062 -7619
438 1452 -5528
438 1060 -4975
2001 439 0
439 1105 -5504
439 1213 -2952
439 1544 -2305
439 1814 -4496
2001 440 0
440 1621 -4682
440 1056 -9114
440 1261 -7478
440 1242 -2433
2001 441 0
441 1979 -9325
441 1148 -9534
441 1708 -5667
441 1123 -6102
2001 442 0
442 1162 -5038
442 1455 -1124
442 1211 -1805
442 1131 -5977
442 1454 -8023
442 1565 -2142
2001 443 0
443 1982 -2172
443 1446 -8664
443 1832 -8942
2001 444 0
444 1101 -3174
444 1486 -4211
444 1791 -9103
444 1053 -1486
444 1402 -2929
444 1772 -3009
2001 445 0
445 1539 -2911
445 1753 -260
445 1496 -6454
445 1751 -1357
445 1038 -7213
445 1243 -3787
445 1739 -3780
445 1499 -9363
445 1570 -7352
445 1730 -8492
2001 446 0
446 1765 -1104
446 1115 -6889
446 1242 -6089
446 1546 -6736
446 1224 -6978
2001 447 0
447 1907 -6363
447 1788 -3997
447 1044 -345
447 1624 -8613
447 1814 -4996
2001 448 0
448 1138 -4450
448 1115 -3118
448 1529 -74
448 1243 -9328
448 1134 -6828
448 1685 -485
2001 449 0
449 1790 -643
449 1697 -7155
449 1275 -7737
449 1456 -1611
2001 450 0
450 1761 -8196
450 1348 -7707
450 1282 -4757
2001 451 0
451 1449 -1567
451 1566 -490
451 1036 -362
451 1399 -6948
451 1013 -8394
451 1953 -8088
451 1311 -8932
451 1389 -2416
2001 452 0
452 1239 -5251
452 1125 -8461
452 1302 -4457
452 1070 -3417
452 1657 -849
452 1694 -9491
452 1579 -4013
2001 453 0
453 1755 -1927
453 1627 -6866
453 1878 -3932
453 1826 -2555
453 1039 -5767
453 1125 -6498
453 1023 -2160
2001 454 0
454 1622 -7851
454 1234 -8625
454 1268 -2836
2001 455 0
455 1387 -5701
455 1407 -3520
455 1966 -5690
455 1198 -9403
2001 456 0
456 1238 -6759
456 1649 -9073
456 1537 -2630
456 1673 -8517
2001 457 0
457 1896 -4120
457 1320 -5209
457 1984 -3477
457 1630 -5940
457 1983 -63
2001 458 0
458 1566 -5928
458 1570 -8385
458 1272 -5931
458 1077 -9313
458 1237 -5026
458 1674 -2071
458 1449 -7981
458 1527 -8548
2001 459 0
459 1797 -5400
459 1330 -4531
459 1493 -8651
459 1971 -789
2001 460 0
460 1489 -9393
460 1202 -7992
460 1574 -8591
460 1924 -5446
460 1348 -4854
460 1734 -7576
2001 461 0
461 1701 -3933
461 1281 -2443
461 1440 -5085
461 1596 -5231
461 1279 -3220
461 1642 -8469
461 1059 -3386
461 1473 -9656
461 1582 -5074
461 1886 -9409
461 1603 -4752
2001 462 0
462 1780 -412
462 1643 -4453
462 1877 -9147
462 1969 -5133
462 1647 -704
2001 463 0
463 1814 -1544
463 1291 -8067
463 1542 -4422
463 1722 -1779
2001 464 0
464 1040 -890
464 1618 -5851
464 1952 -8871
464 1287 -3494
2001 465 0
465 1569 -8560
465 1859 -9099
465 1326 -3117
2001 466 0
466 1402 -4
466 1754 -4557
466 1659 -8625
466 1066 -1497
2001 467 0
467 1310 -5181
467 1649 -3287
467 1459 -575
467 1280 -4256
2001 468 0
468 1418 -6793
468 1990 -3324
468 1462 -803
468 1251 -1159
468 1306 -5456
468 1323 -2420
2001 469 0
469 1751 -6368
469 1799 -4296
469 1502 -6813
469 1031 -4667
469 1865 -3920
469 1818 -7102
2001 470 0
470 1727 -3493
470 1391 -7725
470 1936 -184
470 1719 -8713
470 1878 -4970
470 1632 -7025
470 1327 -8271
2001 471 0
471 1726 -8909
471 1705 -5814
471 1135 -2988
471 1361 -6697
471 1973 -5379
471 1277 -5798
471 1026 -367
2001 472 0
472 1618 -7002
472 1319 -5538
2001 473 0
473 1037 -246
473 1236 -2154
2001 474 0
474 1772 -4851
474 1337 -8775
474 1804 -854
474 1378 -5293
2001 475 0
475 1628 -5560
475 1309 -6584
475 1202 -7646
475 1024 -3042
475 1140 -9891
475 1805 -9416
475 1041 -9266
475 1840 -341
2001 476 0
476 1089 -9353
476 1819 -9973
476 1401 -1864
476 1103 -5488
476 1547 -4066
476 1475 -6572
476 1058 -110
476 1600 -6493
476 1175 -4761
2001 477 0
477 1582 -310
477 1713 -4654
477 1926 -7563
477 1093 -1329
2001 478 0
478 1300 -4618
478 1091 -2521
478 1991 -9953
478 1954 -7110
478 1349 -1094
478 1206 -7485
2001 479 0
2001 480 0
480 1926 -5725
480 1062 -7040
480 1872 -7622
480 1195 -4532
480 1212 -2408
480 1432 -3496
2001 481 0
481 1006 -9869
481 1975 -1800
481 1666 -1588
481 1600 -4252
481 1463 -3281
2001 482 0
482 1996 -2502
482 1212 -3553
482 1717 -9109
482 1249 -2437
482 1190 -2881
482 1361 -7961
482 1263 -7522
2001 483 0
483 1956 -6152
483 1405 -6423
483 1548 -967
483 1751 -7521
2001 484 0
484 1067 -2877
484 1486 -8353
484 1084 -7588
2001 485 0
485 1333 -5883
485 1861 -5574
485 1812 -4034
485 1320 -2516
2001 486 0
486 1168 -3165
486 1093 -9130
486 1918 -6332
486 1699 -7269
486 1815 -3352
486 1257 -3235
486 1650 -9340
2001 487 0
487 1385 -1754
487 1746 -9643
487 1750 -5408
487 1982 -3242
487 1691 -1719
487 1109 -8261
487 1862 -6871
487 1241 -140
2001 488 0
488 1101 -5759
488 1748 -6157
488 1435 -7314
488 1787 -8175
488 1374 -8785
488 1295 -7214
488 1530 -898
488 1329 -8974
488 1135 -3477
2001 489 0
489 1764 -3523
489 1841 -1375
489 1238 -4450
489 1401 -4158
2001 490 0
490 1644 -4738
490 1349 -5892
490 1533 -3365
490 1147 -4095
2001 491 0
491 1044 -6781
491 1928 -7924
491 1581 -7527
491 1880 -4723
491 1028 -1415
491 1831 -3702
491 1709 -1861
491 1072 -1900
2001 492 0
492 1415 -4570
492 1031 -9281
492 1204 -2033
492 1698 -1386
492 1880 -4972
492 1838 -4920
2001 493 0
493 1191 -9641
493 1486 -8463
2001 494 0
494 1353 -5379
494 1354 -3126
494 1234 -8972
494 1293 -4686
494 1787 -5241
494 1371 -8807
494 1873 -2628
2001 495 0
495 1292 -4386
495 1034 -615
495 1967 -5159
495 1365 -1630
495 1764 -434
495 1880 -7732
495 1169 -6849
2001 496 0
496 1171 -372
496 1793 -7371
496 1021 -2324
496 1130 -2999
496 1495 -4711
496 1435 -4704
2001 497 0
497 1598 -5000
497 1197 -6201
497 1021 -6857
497 1937 -3188
497 1048 -6639
2001 498 0
498 1351 -2024
498 1252 -6121
2001 499 0
499 1292 -3543
499 1861 -8700
2001 500 0
500 1727 -8867
500 1784 -2960
500 1750 -5662
500 1892 -8777
500 1210 -3811
500 1073 -1396
500 1907 -6574
2001 501 0
501 1468 -6209
501 1298 -965
501 1923 -5019
501 1611 -5230
501 1921 -4415
2001 502 0
502 1603 -1418
502 1388 -8864
502 1698 -5873
502 1550 -9476
2001 503 0
503 1195 -4849
503 1512 -4318
503 1933 -7779
2001 504 0
504 1416 -3991
504 1224 -1304
504 1030 -7350
504 1140 -4134
504 1591 -6405
2001 505 0
505 1347 -3197
505 1568 -2022
505 1181 -6018
505 1784 -9163
505 1271 -1536
2001 506 0
506 1057 -3464
506 1503 -3131
506 1029 -3832
506 1621 -9499
506 1986 -7456
506 1827 -7403
506 1178 -7919
506 1365 -7623
506 1823 -9180
2001 507 0
507 1266 -5250
507 1922 -2060
507 1102 -1968
507 1485 -5867
507 1574 -3599
2001 508 0
508 1398 -4967
508 1463 -4149
508 1206 -6826
508 1301 -644
2001 509 0
509 1914 -2161
509 1757 -3199
509 1293 -5703
509 1444 -1287
509 1088 -5299
2001 510 0
510 1206 -928
510 1408 -2237
510 1695 -3535
510 1449 -9971
510 1112 -3718
510 1791 -6114
2001 511 0
511 1341 -7085
511 1172 -5551
511 1683 -5529
511 1488 -9450
511 1349 -9955
2001 512 0
512 1868 -3241
512 1367 -8678
2001 513 0
513 1041 -8436
513 1357 -6859
513 1919 -573
513 1033 -5980
513 1062 -8552
513 1854 -8689
513 1377 -8836
2001 514 0
514 1277 -7651
514 1994 -7259
514 1122 -6065
514 1453 -1344
514 1356 -7489
2001 515 0
515 1734 -7832
515 1341 -3985
515 1755 -6828
515 1309 -6166
515 1384 -5545
2001 516 0
516 1722 -6587
516 1486 -1645
516 1047 -871
516 1576 -2169
516 1434 -7556
516 1394 -5283
2001 517 0
517 1305 -6302
517 1606 -8444
2001 518 0
518 1740 -5654
518 1294 -3543
518 1112 -627
518 1615 -3408
518 1973 -8863
518 1091 -1270
2001 519 0
519 1938 -271
519 1120 -2185
519 1323 -3598
519 1292 -2576
519 1715 -6651
2001 520 0
520 1700 -7360
520 1784 -2116
520 1780 -6415
520 1825 -5608
520 1822 -9972
520 1546 -9194
2001 521 0
521 1764 -2603
521 1692 -805
521 1604 -1027
521 1682 -8806
521 1638 -3400
521 1565 -717
521 1998 -9156
521 1269 -6593
521 1961 -1799
521 1980 -7470
521 1687 -3229
521 1895 -2548
521 1556 -7170
521 1010 -1459
521 1953 -9175
2001 522 0
522 1012 -485
522 1836 -165
522 1573 -6479
522 1689 -3084
2001 523 0
523 1348 -9035
2001 524 0
524 1729 -35
524 1603 -6633
524 1742 -2736
524 1029 -4591
524 1197 -5144
524 1335 -8235
524 1374 -6866
2001 525 0
525 1508 -3031
525 1165 -9410
525 1749 -2430
525 1699 -3912
2001 526 0
526 1202 -6449
526 1137 -8354
526 1923 -6860
526 1767 -4755
526 1048 -6993
526 1017 -7157
526 1129 -9825
526 1441 -5875
526 1250 -2060
2001 527 0
527 1775 -297
527 1352 -1552
527 1646 -4810
527 1541 -5512
527 1167 -130
527 1847 -2
527 1572 -2810
2001 528 0
528 1342 -9655
528 1828 -1308
528 1088 -9782
528 1523 -9074
528 1412 -2818
528 1945 -7281
528 1582 -3841
2001 529 0
529 1698 -4259
529 1765 -6854
529 1426 -6901
529 1380 -9850
529 1565 -2319
529 1301 -3080
2001 530 0
530 1977 -953
530 1268 -2902
530 1500 -3343
530 1373 -8081
530 1905 -8733
530 1834 -8955
530 1698 -8040
530 1435 -6752
2001 531 0
531 1507 -4548
531 1380 -4317
531 1780 -1562
531 1811 -1249
531 1536 -7552
531 1083 -8820
2001 532 0
532 1723 -4624
532 1255 -6945
532 1588 -3797
532 1375 -2669
532 1917 -6079
2001 533 0
533 1889 -9447
533 1803 -7075
533 1202 -1097
533 1546 -229
2001 534 0
534 1984 -5042
534 1713 -4137
2001 535 0
535 1743 -9712
535 1338 -9752
535 1771 -2843
2001 536 0
536 1479 -1706
536 1221 -3928
536 1844 -4163
536 1425 -1804
2001 537 0
537 1482 -769
537 1918 -9225
537 1435 -1682
2001 538 0
538 1582 -3300
538 1285 -6413
538 1425 -2538
2001 539 0
539 1081 -5120
539 1760 -4506
539 1091 -4619
539 1107 -9131
539 1520 -1931
2001 540 0
540 1399 -9840
540 1151 -5437
540 1154 -404
540 1499 -8492
540 1984 -3664
